order_id,order_date,month_num,month_name,quarter,region,store_id,customer_id,category,sub_category,sku,quantity,unit_price,unit_cost,discount_pct,revenue,cogs,profit,payment_method,sales_channel
ORD-100018,2023-09-22,9,September,Q3,East,STR-EA-04,CUST-82603,Groceries,Beverages,SKU-BEV-002,8,242.2,165.59,0,1937.6,1324.72,612.88,UPI,App
ORD-100019,2023-01-04,1,January,Q1,Central,STR-CE-04,CUST-77391,Sports,Swimming,SKU-SWM-001,2,753.75,385.78,0,1507.5,771.56,735.94,Debit Card,Online
ORD-100020,2023-04-20,4,April,Q2,East,STR-EA-02,CUST-34957,Clothing,Kids Wear,SKU-KDW-002,19,2834.4,1716.45,0,53853.6,32612.55,21241.05,Cash,In-Store
ORD-100021,2023-07-01,7,July,Q3,Central,STR-CE-06,CUST-62772,Furniture,Sofa,SKU-SOF-002,15,22908.2,17858.67,0,343623.0,267880.05,75742.95,UPI,Online
ORD-100022,2023-04-09,4,April,Q2,East,STR-EA-02,CUST-42742,Clothing,Men Wear,SKU-MNW-001,15,1193.98,582.48,0,17909.7,8737.2,9172.5,Debit Card,In-Store
ORD-100023,2023-01-26,1,January,Q1,South,STR-SO-08,CUST-63269,Sports,Badminton,SKU-BAD-001,18,5286.73,3572.39,0,95161.14,64303.02,30858.12,Credit Card,In-Store
ORD-100024,2023-07-25,7,July,Q3,North,STR-NO-07,CUST-47388,Furniture,Chair,SKU-CHR-001,6,45414.81,32101.28,5,258864.42,192607.68,66256.74,Debit Card,In-Store
ORD-100025,2023-03-21,3,March,Q1,South,STR-SO-01,CUST-51104,Furniture,Wardrobe,SKU-WRD-001,7,11925.2,8485.39,10,75128.76,59397.73,15731.03,EMI,Online
ORD-100026,2023-09-15,9,September,Q3,East,STR-EA-10,CUST-18981,Groceries,Dairy,SKU-DAI-002,17,462.11,311.28,10,7070.28,5291.76,1778.52,UPI,In-Store
ORD-100027,2023-07-26,7,July,Q3,Central,STR-CE-07,CUST-20745,Furniture,Sofa,SKU-SOF-001,19,8634.67,5931.43,10,147652.86,112697.17,34955.69,UPI,App
ORD-100028,2023-05-14,5,May,Q2,North,STR-NO-06,CUST-69929,Furniture,Wardrobe,SKU-WRD-001,11,12600.18,6482.1,5,131671.88,71303.1,60368.78,Credit Card,Online
ORD-100029,2023-08-23,8,August,Q3,South,STR-SO-05,CUST-76307,Beauty,Skincare,SKU-SKN-001,19,1920.3,1535.12,0,36485.7,29167.28,7318.42,EMI,In-Store
ORD-100030,2023-02-05,2,February,Q1,North,STR-NO-09,CUST-90173,Furniture,Bed,SKU-BED-002,12,44325.7,23357.28,5,505312.98,280287.36,225025.62,EMI,Online
ORD-100031,2023-10-11,10,October,Q4,North,STR-NO-09,CUST-24029,Clothing,Men Wear,SKU-MNW-003,4,1707.08,1200.95,0,6828.32,4803.8,2024.52,Debit Card,Online
ORD-100032,2023-05-25,5,May,Q2,West,STR-WE-05,CUST-74032,Clothing,Women Wear,SKU-WMW-002,11,3142.7,1586.97,15,29384.24,17456.67,11927.57,Debit Card,App
ORD-100033,2023-11-21,11,November,Q4,South,STR-SO-08,CUST-31178,Furniture,Sofa,SKU-SOF-001,9,22908.06,10581.31,0,206172.54,95231.79,110940.75,Credit Card,Online
ORD-100034,2023-10-15,10,October,Q4,East,STR-EA-06,CUST-14722,Beauty,Personal Care,SKU-PRC-002,3,177.56,125.21,15,452.78,375.63,77.15,Credit Card,App
ORD-100035,2023-08-09,8,August,Q3,North,STR-NO-04,CUST-37535,Electronics,Camera,SKU-CAM-001,10,14558.41,10259.28,20,116467.28,102592.8,13874.48,UPI,Online
ORD-100036,2023-10-14,10,October,Q4,Central,STR-CE-03,CUST-31299,Sports,Cricket,SKU-CRI-002,14,7096.25,5059.17,15,84445.38,70828.38,13617.0,Credit Card,In-Store
ORD-100037,2023-04-02,4,April,Q2,South,STR-SO-02,CUST-30866,Clothing,Footwear,SKU-FTW-001,11,3761.85,2487.5,5,39311.33,27362.5,11948.83,Credit Card,Online
ORD-100038,2023-08-29,8,August,Q3,East,STR-EA-04,CUST-13101,Clothing,Footwear,SKU-FTW-001,15,1345.44,945.1,20,16145.28,14176.5,1968.78,Credit Card,In-Store
ORD-100039,2023-05-23,5,May,Q2,Central,STR-CE-01,CUST-53404,Furniture,Chair,SKU-CHR-002,9,43624.59,23767.09,10,353359.18,213903.81,139455.37,Cash,App
ORD-100040,2023-04-02,4,April,Q2,East,STR-EA-07,CUST-51114,Electronics,Mobile,SKU-MOB-002,9,48544.23,22346.34,10,393208.26,201117.06,192091.2,Cash,Online
ORD-100041,2023-07-17,7,July,Q3,South,STR-SO-09,CUST-78146,Sports,Swimming,SKU-SWM-001,7,7216.14,4966.21,15,42936.03,34763.47,8172.56,Cash,Online
ORD-100042,2023-08-09,8,August,Q3,North,STR-NO-05,CUST-76469,Electronics,Laptop,SKU-LAP-002,11,10248.04,9593.03,15,95819.17,105523.33,-9704.16,UPI,Online
ORD-100043,2023-07-26,7,July,Q3,West,STR-WE-10,CUST-90676,Furniture,Chair,SKU-CHR-002,18,35768.8,23932.66,5,611646.48,430787.88,180858.6,Cash,In-Store
ORD-100044,2023-10-08,10,October,Q4,South,STR-SO-06,CUST-95813,Groceries,Beverages,SKU-BEV-002,10,421.85,222.51,5,4007.57,2225.1,1782.47,EMI,App
ORD-100045,2023-08-15,8,August,Q3,North,STR-NO-09,CUST-47196,Groceries,Staples,SKU-STP-002,17,347.54,250.57,20,4726.54,4259.69,466.85,Credit Card,Online
ORD-100046,2023-02-17,2,February,Q1,West,STR-WE-01,CUST-13201,Groceries,Fresh Produce,SKU-FRP-002,8,414.66,261.92,0,3317.28,2095.36,1221.92,Credit Card,In-Store
ORD-100047,2023-11-09,11,November,Q4,North,STR-NO-08,CUST-60328,Clothing,Women Wear,SKU-WMW-002,3,4293.77,2460.17,15,10949.11,7380.51,3568.6,EMI,In-Store
ORD-100048,2023-03-17,3,March,Q1,North,STR-NO-03,CUST-38683,Electronics,Tablet,SKU-TAB-001,1,54204.35,37456.19,20,43363.48,37456.19,5907.29,UPI,In-Store
ORD-100049,2023-01-26,1,January,Q1,East,STR-EA-10,CUST-83259,Clothing,Accessories,SKU-ACC-002,4,2919.81,1673.77,20,9343.39,6695.08,2648.31,Cash,App
ORD-100050,2023-11-10,11,November,Q4,North,STR-NO-08,CUST-72216,Beauty,Makeup,SKU-MKP-002,17,2472.77,1397.66,10,37833.38,23760.22,14073.16,Cash,In-Store
ORD-100051,2023-11-23,11,November,Q4,South,STR-SO-05,CUST-20155,Groceries,Beverages,SKU-BEV-001,17,160.34,93.13,0,2725.78,1583.21,1142.57,Debit Card,In-Store
ORD-100052,2023-06-21,6,June,Q2,East,STR-EA-04,CUST-30028,Beauty,Haircare,SKU-HRC-002,18,1061.17,500.61,0,19101.06,9010.98,10090.08,Credit Card,In-Store
ORD-100053,2023-07-28,7,July,Q3,Central,STR-CE-01,CUST-86556,Electronics,Mobile,SKU-MOB-002,15,29816.1,21239.98,0,447241.5,318599.7,128641.8,Cash,In-Store
ORD-100054,2023-09-02,9,September,Q3,South,STR-SO-10,CUST-81582,Beauty,Personal Care,SKU-PRC-002,12,166.8,115.89,5,1901.52,1390.68,510.84,Cash,App
ORD-100055,2023-04-23,4,April,Q2,West,STR-WE-03,CUST-71261,Sports,Football,SKU-FOT-002,16,2328.9,1066.26,0,37262.4,17060.16,20202.24,Cash,In-Store
ORD-100056,2023-07-21,7,July,Q3,East,STR-EA-01,CUST-33819,Beauty,Personal Care,SKU-PRC-001,1,1836.89,1217.11,5,1745.05,1217.11,527.94,Credit Card,In-Store
ORD-100057,2023-06-17,6,June,Q2,East,STR-EA-02,CUST-43065,Electronics,Headphones,SKU-HDP-002,11,20874.52,11295.73,5,218138.73,124253.03,93885.7,Debit Card,In-Store
ORD-100058,2023-10-04,10,October,Q4,West,STR-WE-04,CUST-42411,Clothing,Footwear,SKU-FTW-001,12,544.8,278.14,0,6537.6,3337.68,3199.92,UPI,Online
ORD-100059,2023-05-03,5,May,Q2,North,STR-NO-03,CUST-58351,Sports,Cricket,SKU-CRI-001,4,1184.52,713.4,0,4738.08,2853.6,1884.48,Cash,Online
ORD-100060,2023-03-25,3,March,Q1,North,STR-NO-04,CUST-61990,Electronics,Camera,SKU-CAM-001,4,77354.06,46895.5,0,309416.24,187582.0,121834.24,EMI,In-Store
ORD-100061,2023-02-22,2,February,Q1,South,STR-SO-06,CUST-15383,Furniture,Sofa,SKU-SOF-001,10,35768.07,24307.24,10,321912.63,243072.4,78840.23,UPI,App
ORD-100062,2023-12-05,12,December,Q4,Central,STR-CE-07,CUST-23833,Sports,Swimming,SKU-SWM-002,17,3090.45,1931.03,0,52537.65,32827.51,19710.14,Cash,In-Store
ORD-100063,2023-08-24,8,August,Q3,East,STR-EA-08,CUST-80539,Sports,Fitness,SKU-FIT-003,14,5717.01,3867.1,10,72034.33,54139.4,17894.93,Debit Card,App
ORD-100064,2023-10-31,10,October,Q4,North,STR-NO-08,CUST-41963,Groceries,Staples,SKU-STP-002,8,156.15,105.29,0,1249.2,842.32,406.88,Debit Card,In-Store
ORD-100065,2023-06-22,6,June,Q2,West,STR-WE-05,CUST-54608,Furniture,Wardrobe,SKU-WRD-001,11,4348.9,2170.52,0,47837.9,23875.72,23962.18,Debit Card,Online
ORD-100066,2023-10-12,10,October,Q4,Central,STR-CE-04,CUST-82768,Sports,Swimming,SKU-SWM-002,7,279.18,132.08,15,1661.12,924.56,736.56,Cash,In-Store
ORD-100067,2023-08-18,8,August,Q3,South,STR-SO-10,CUST-97026,Sports,Badminton,SKU-BAD-002,3,6384.88,4431.97,5,18196.91,13295.91,4901.0,Credit Card,Online
ORD-100068,2023-10-11,10,October,Q4,Central,STR-CE-05,CUST-69473,Furniture,Table,SKU-TBL-002,14,27953.33,20100.97,10,352211.96,281413.58,70798.38,Debit Card,Online
ORD-100069,2023-04-29,4,April,Q2,North,STR-NO-04,CUST-35105,Furniture,Table,SKU-TBL-002,7,8670.83,4640.61,15,51591.44,32484.27,19107.17,EMI,In-Store
ORD-100070,2023-10-29,10,October,Q4,Central,STR-CE-06,CUST-39816,Groceries,Staples,SKU-STP-002,17,489.01,298.85,0,8313.17,5080.45,3232.72,Credit Card,Online
ORD-100071,2023-01-08,1,January,Q1,South,STR-SO-08,CUST-26551,Furniture,Bed,SKU-BED-002,5,36276.87,19011.4,0,181384.35,95057.0,86327.35,EMI,Online
ORD-100072,2023-10-21,10,October,Q4,South,STR-SO-02,CUST-72616,Beauty,Skincare,SKU-SKN-001,16,960.37,546.38,0,15365.92,8742.08,6623.84,UPI,Online
ORD-100073,2023-09-09,9,September,Q3,North,STR-NO-04,CUST-21164,Electronics,Mobile,SKU-MOB-002,2,10556.16,7101.75,20,16889.86,14203.5,2686.36,EMI,Online
ORD-100074,2023-08-02,8,August,Q3,East,STR-EA-05,CUST-68028,Electronics,Mobile,SKU-MOB-003,20,50473.82,45442.18,10,908528.76,908843.6,-314.84,Cash,In-Store
ORD-100075,2023-06-06,6,June,Q2,West,STR-WE-04,CUST-91987,Electronics,Camera,SKU-CAM-002,2,47647.21,29283.99,15,81000.26,58567.98,22432.28,UPI,In-Store
ORD-100076,2023-02-11,2,February,Q1,South,STR-SO-10,CUST-69048,Beauty,Makeup,SKU-MKP-003,6,597.61,357.99,0,3585.66,2147.94,1437.72,UPI,In-Store
ORD-100077,2023-01-17,1,January,Q1,East,STR-EA-10,CUST-44675,Electronics,Tablet,SKU-TAB-002,10,22360.72,14306.54,5,212426.84,143065.4,69361.44,UPI,In-Store
ORD-100078,2023-02-28,2,February,Q1,East,STR-EA-03,CUST-17816,Electronics,Laptop,SKU-LAP-002,5,45842.18,44089.04,20,183368.72,220445.2,-37076.48,Credit Card,Online
ORD-100079,2023-08-13,8,August,Q3,North,STR-NO-08,CUST-74722,Furniture,Table,SKU-TBL-002,10,8844.62,6677.33,0,88446.2,66773.3,21672.9,EMI,App
ORD-100080,2023-08-10,8,August,Q3,North,STR-NO-01,CUST-86955,Groceries,Dairy,SKU-DAI-001,20,375.23,257.99,0,7504.6,5159.8,2344.8,Credit Card,App
ORD-100081,2023-01-21,1,January,Q1,South,STR-SO-10,CUST-33788,Electronics,Headphones,SKU-HDP-003,6,62233.18,35910.74,15,317389.22,215464.44,101924.78,Cash,Online
ORD-100082,2023-02-16,2,February,Q1,South,STR-SO-07,CUST-53228,Beauty,Perfume,SKU-PRF-002,14,1489.53,804.34,15,17725.41,11260.76,6464.65,UPI,In-Store
ORD-100083,2023-12-06,12,December,Q4,Central,STR-CE-02,CUST-52372,Furniture,Chair,SKU-CHR-002,18,47424.1,21810.73,0,853633.8,392593.14,461040.66,Debit Card,Online
ORD-100084,2023-01-01,1,January,Q1,North,STR-NO-10,CUST-57419,Clothing,Footwear,SKU-FTW-003,18,3391.0,1948.92,0,61038.0,35080.56,25957.44,Credit Card,App
ORD-100085,2023-01-27,1,January,Q1,West,STR-WE-01,CUST-25915,Sports,Badminton,SKU-BAD-002,18,1787.75,867.73,0,32179.5,15619.14,16560.36,Cash,In-Store
ORD-100086,2023-12-30,12,December,Q4,South,STR-SO-08,CUST-24871,Electronics,Camera,SKU-CAM-001,18,16878.36,7657.58,5,288619.96,137836.44,150783.52,UPI,In-Store
ORD-100087,2023-03-20,3,March,Q1,South,STR-SO-04,CUST-71894,Clothing,Men Wear,SKU-MNW-003,10,2642.36,1552.11,0,26423.6,15521.1,10902.5,Cash,In-Store
ORD-100088,2023-07-16,7,July,Q3,East,STR-EA-06,CUST-64387,Beauty,Perfume,SKU-PRF-001,20,693.24,503.46,0,13864.8,10069.2,3795.6,UPI,Online
ORD-100089,2023-01-02,1,January,Q1,North,STR-NO-09,CUST-68529,Electronics,Camera,SKU-CAM-002,10,26212.92,17723.04,10,235916.28,177230.4,58685.88,Cash,In-Store
ORD-100090,2023-06-20,6,June,Q2,East,STR-EA-07,CUST-84946,Beauty,Perfume,SKU-PRF-002,18,1722.96,950.81,0,31013.28,17114.58,13898.7,Credit Card,In-Store
ORD-100091,2023-01-23,1,January,Q1,North,STR-NO-03,CUST-96991,Furniture,Bed,SKU-BED-002,16,17954.29,11498.13,20,229814.91,183970.08,45844.83,Cash,In-Store
ORD-100092,2023-03-06,3,March,Q1,South,STR-SO-08,CUST-78937,Beauty,Perfume,SKU-PRF-001,19,1581.53,853.45,0,30049.07,16215.55,13833.52,Cash,Online
ORD-100093,2023-07-29,7,July,Q3,North,STR-NO-07,CUST-91691,Furniture,Sofa,SKU-SOF-001,5,43933.85,29050.13,20,175735.4,145250.65,30484.75,Debit Card,Online
ORD-100094,2023-12-12,12,December,Q4,North,STR-NO-10,CUST-14705,Groceries,Dairy,SKU-DAI-002,13,433.89,307.03,15,4794.48,3991.39,803.09,Cash,App
ORD-100095,2023-11-20,11,November,Q4,North,STR-NO-02,CUST-22903,Beauty,Skincare,SKU-SKN-001,10,2100.54,1510.93,15,17854.59,15109.3,2745.29,UPI,In-Store
ORD-100096,2023-12-22,12,December,Q4,South,STR-SO-06,CUST-56984,Furniture,Chair,SKU-CHR-001,1,17074.91,7895.74,20,13659.93,7895.74,5764.19,UPI,Online
ORD-100097,2023-05-06,5,May,Q2,Central,STR-CE-10,CUST-20350,Beauty,Perfume,SKU-PRF-001,19,1663.82,1055.01,0,31612.58,20045.19,11567.39,Credit Card,In-Store
ORD-100098,2023-09-12,9,September,Q3,East,STR-EA-01,CUST-43466,Electronics,Tablet,SKU-TAB-001,5,73462.18,50308.98,15,312214.26,251544.9,60669.36,Debit Card,In-Store
ORD-100099,2023-12-13,12,December,Q4,North,STR-NO-07,CUST-93746,Groceries,Staples,SKU-STP-002,3,286.9,163.32,0,860.7,489.96,370.74,EMI,Online
ORD-100100,2023-06-04,6,June,Q2,North,STR-NO-06,CUST-84963,Sports,Fitness,SKU-FIT-002,13,1753.89,1193.35,0,22800.57,15513.55,7287.02,Credit Card,In-Store
ORD-100101,2023-12-25,12,December,Q4,Central,STR-CE-05,CUST-75107,Furniture,Wardrobe,SKU-WRD-001,13,16875.85,8844.8,10,197447.45,114982.4,82465.05,UPI,App
ORD-100102,2023-06-30,6,June,Q2,West,STR-WE-01,CUST-92242,Groceries,Snacks,SKU-SNK-003,7,132.93,82.1,15,790.93,574.7,216.23,Credit Card,Online
ORD-100103,2023-01-18,1,January,Q1,West,STR-WE-04,CUST-33021,Groceries,Beverages,SKU-BEV-002,5,302.4,143.44,0,1512.0,717.2,794.8,Debit Card,In-Store
ORD-100104,2023-09-29,9,September,Q3,South,STR-SO-02,CUST-54396,Furniture,Bed,SKU-BED-002,9,26584.35,20591.46,0,239259.15,185323.14,53936.01,Cash,Online
ORD-100105,2023-03-14,3,March,Q1,Central,STR-CE-02,CUST-57942,Clothing,Footwear,SKU-FTW-001,8,3844.51,2622.87,15,26142.67,20982.96,5159.71,Cash,App
ORD-100106,2023-05-16,5,May,Q2,West,STR-WE-06,CUST-59941,Groceries,Staples,SKU-STP-001,15,282.19,155.07,15,3597.92,2326.05,1271.87,Debit Card,App
ORD-100107,2023-04-30,4,April,Q2,South,STR-SO-02,CUST-39015,Electronics,Mobile,SKU-MOB-003,20,40360.77,38729.43,10,726493.86,774588.6,-48094.74,Debit Card,App
ORD-100108,2023-11-29,11,November,Q4,North,STR-NO-02,CUST-25220,Beauty,Perfume,SKU-PRF-002,5,1313.64,607.22,0,6568.2,3036.1,3532.1,Debit Card,In-Store
ORD-100109,2023-07-18,7,July,Q3,West,STR-WE-02,CUST-95841,Furniture,Bed,SKU-BED-001,18,24321.26,17337.87,15,372115.28,312081.66,60033.62,Credit Card,In-Store
ORD-100110,2023-05-24,5,May,Q2,North,STR-NO-06,CUST-23022,Electronics,Tablet,SKU-TAB-002,12,7453.72,3791.43,5,84972.41,45497.16,39475.25,Credit Card,Online
ORD-100111,2023-02-01,2,February,Q1,East,STR-EA-04,CUST-96870,Electronics,Camera,SKU-CAM-002,7,34860.47,24800.29,20,195218.63,173602.03,21616.6,Cash,Online
ORD-100112,2023-01-26,1,January,Q1,North,STR-NO-09,CUST-18992,Beauty,Personal Care,SKU-PRC-001,8,2392.36,1715.28,20,15311.1,13722.24,1588.86,EMI,In-Store
ORD-100113,2023-04-30,4,April,Q2,Central,STR-CE-03,CUST-28964,Sports,Football,SKU-FOT-001,5,2762.76,1831.53,10,12432.42,9157.65,3274.77,UPI,Online
ORD-100114,2023-03-31,3,March,Q1,Central,STR-CE-01,CUST-52437,Electronics,Camera,SKU-CAM-002,1,13244.48,6431.35,0,13244.48,6431.35,6813.13,Credit Card,App
ORD-100115,2023-01-27,1,January,Q1,South,STR-SO-06,CUST-68756,Groceries,Snacks,SKU-SNK-002,14,89.58,53.04,15,1066.0,742.56,323.44,UPI,In-Store
ORD-100116,2023-08-20,8,August,Q3,West,STR-WE-01,CUST-70036,Groceries,Fresh Produce,SKU-FRP-001,20,266.8,175.16,20,4268.8,3503.2,765.6,EMI,Online
ORD-100117,2023-07-25,7,July,Q3,Central,STR-CE-10,CUST-52219,Beauty,Skincare,SKU-SKN-002,4,1364.88,987.55,5,5186.54,3950.2,1236.34,UPI,Online
ORD-100118,2023-03-06,3,March,Q1,West,STR-WE-05,CUST-79541,Furniture,Bed,SKU-BED-001,19,15925.75,9524.49,0,302589.25,180965.31,121623.94,Cash,App
ORD-100119,2023-02-20,2,February,Q1,North,STR-NO-08,CUST-66370,Furniture,Chair,SKU-CHR-002,4,40275.52,27397.59,15,136936.77,109590.36,27346.41,EMI,In-Store
ORD-100120,2023-06-23,6,June,Q2,Central,STR-CE-05,CUST-50963,Furniture,Bed,SKU-BED-002,13,41888.7,23554.74,0,544553.1,306211.62,238341.48,Debit Card,In-Store
ORD-100121,2023-12-18,12,December,Q4,East,STR-EA-06,CUST-22656,Beauty,Makeup,SKU-MKP-001,3,2780.51,1319.72,0,8341.53,3959.16,4382.37,UPI,In-Store
ORD-100122,2023-10-28,10,October,Q4,Central,STR-CE-07,CUST-97207,Electronics,Laptop,SKU-LAP-001,18,76746.85,41366.89,0,1381443.3,744604.02,636839.28,Cash,Online
ORD-100123,2023-11-04,11,November,Q4,North,STR-NO-02,CUST-39392,Beauty,Skincare,SKU-SKN-002,4,1040.48,630.57,0,4161.92,2522.28,1639.64,Credit Card,In-Store
ORD-100124,2023-07-08,7,July,Q3,East,STR-EA-10,CUST-91490,Beauty,Makeup,SKU-MKP-003,9,477.42,351.44,20,3437.42,3162.96,274.46,Cash,App
ORD-100125,2023-11-08,11,November,Q4,South,STR-SO-01,CUST-56009,Sports,Swimming,SKU-SWM-001,9,7446.86,3409.3,0,67021.74,30683.7,36338.04,Debit Card,Online
ORD-100126,2023-10-17,10,October,Q4,North,STR-NO-04,CUST-79531,Electronics,Laptop,SKU-LAP-001,3,54300.85,26515.44,15,138467.17,79546.32,58920.85,UPI,Online
ORD-100127,2023-08-21,8,August,Q3,North,STR-NO-01,CUST-21135,Beauty,Perfume,SKU-PRF-002,12,1121.55,781.44,0,13458.6,9377.28,4081.32,EMI,App
ORD-100128,2023-11-13,11,November,Q4,South,STR-SO-08,CUST-89570,Furniture,Bed,SKU-BED-001,3,5338.84,2794.71,15,13614.04,8384.13,5229.91,Cash,In-Store
ORD-100129,2023-04-21,4,April,Q2,South,STR-SO-09,CUST-73783,Groceries,Staples,SKU-STP-002,4,384.82,209.03,0,1539.28,836.12,703.16,Debit Card,App
ORD-100130,2023-04-23,4,April,Q2,West,STR-WE-05,CUST-27987,Electronics,Headphones,SKU-HDP-001,20,34644.75,16102.57,0,692895.0,322051.4,370843.6,Debit Card,In-Store
ORD-100131,2023-03-03,3,March,Q1,East,STR-EA-09,CUST-75570,Groceries,Beverages,SKU-BEV-002,14,33.63,16.73,5,447.28,234.22,213.06,EMI,In-Store
ORD-100132,2023-07-23,7,July,Q3,South,STR-SO-07,CUST-85465,Beauty,Makeup,SKU-MKP-001,2,2606.03,1864.44,5,4951.46,3728.88,1222.58,UPI,Online
ORD-100133,2023-12-30,12,December,Q4,North,STR-NO-08,CUST-91018,Beauty,Personal Care,SKU-PRC-002,10,1974.4,949.88,0,19744.0,9498.8,10245.2,Debit Card,In-Store
ORD-100134,2023-08-12,8,August,Q3,Central,STR-CE-05,CUST-61873,Groceries,Beverages,SKU-BEV-001,8,426.91,305.39,5,3244.52,2443.12,801.4,EMI,Online
ORD-100135,2023-06-20,6,June,Q2,Central,STR-CE-06,CUST-35415,Groceries,Beverages,SKU-BEV-001,3,396.19,232.89,0,1188.57,698.67,489.9,EMI,App
ORD-100136,2023-11-27,11,November,Q4,South,STR-SO-03,CUST-88957,Sports,Fitness,SKU-FIT-003,8,6557.29,3132.79,0,52458.32,25062.32,27396.0,Credit Card,In-Store
ORD-100137,2023-11-18,11,November,Q4,East,STR-EA-06,CUST-52363,Furniture,Sofa,SKU-SOF-001,19,26223.5,17180.77,5,473334.17,326434.63,146899.54,EMI,App
ORD-100138,2023-02-04,2,February,Q1,West,STR-WE-02,CUST-76497,Electronics,Laptop,SKU-LAP-002,10,40169.08,38227.7,10,361521.72,382277.0,-20755.28,UPI,Online
ORD-100139,2023-08-20,8,August,Q3,North,STR-NO-09,CUST-87867,Sports,Fitness,SKU-FIT-002,12,493.34,382.22,0,5920.08,4586.64,1333.44,UPI,App
ORD-100140,2023-10-25,10,October,Q4,East,STR-EA-10,CUST-52143,Furniture,Chair,SKU-CHR-002,2,29052.87,16601.63,20,46484.59,33203.26,13281.33,EMI,In-Store
ORD-100141,2023-02-01,2,February,Q1,North,STR-NO-04,CUST-15130,Electronics,Tablet,SKU-TAB-001,11,38789.23,27743.77,0,426681.53,305181.47,121500.06,EMI,In-Store
ORD-100142,2023-09-26,9,September,Q3,North,STR-NO-10,CUST-54350,Furniture,Chair,SKU-CHR-002,6,27569.16,19424.81,0,165414.96,116548.86,48866.1,Cash,In-Store
ORD-100143,2023-02-03,2,February,Q1,Central,STR-CE-06,CUST-29709,Sports,Cricket,SKU-CRI-002,18,2771.59,1754.87,0,49888.62,31587.66,18300.96,Debit Card,App
ORD-100144,2023-12-06,12,December,Q4,South,STR-SO-02,CUST-87993,Beauty,Skincare,SKU-SKN-003,12,553.07,295.21,15,5641.31,3542.52,2098.79,Cash,In-Store
